date,sales,week,month,quarter,year,day_of_year,sin_month,cos_month,sin_week,cos_week,sin_qtr,cos_qtr,is_holiday_season,is_q4,is_q1,is_summer,is_sep_oct,year_trend,year_trend_sq,fourier_sin_1,fourier_cos_1,fourier_sin_2,fourier_cos_2,fourier_sin_3,fourier_cos_3,lag_1,lag_2,lag_3,lag_4,lag_6,lag_8,lag_12,lag_16,lag_26,lag_52,rolling_4,rolling_std_4,rolling_8,rolling_std_8,rolling_12,rolling_std_12,rolling_26,rolling_std_26,rolling_52,rolling_std_52,ewm_4,ewm_8,ewm_12,momentum_4,momentum_8,yoy_ratio
2015-01-11,149154.08,2,1,1,2015,11,0.49999999999999994,0.8660254037844387,0.23931566428755774,0.970941817426052,1.0,6.123233995736766e-17,0,0,1,0,0,0.3333333333333333,0.1111111111111111,0.18809941761179758,0.9821499931752291,0.3694836834473831,0.9292372181882051,0.5376773767406141,0.8431506618282,158707.39,94226.77,180021.83000000002,129938.29,116489.35,127543.81,77353.15,127728.36,28467.28,8986.54,140723.57,37175.46545657226,139786.55625000002,47660.245859899675,117733.89000000001,53948.47336988967,94866.4080769231,51559.558892265384,67840.3051923077,47673.49794569859,138398.9838215277,131270.253320717,123906.39753880227,75664.16000000002,34002.95000000001,0.9112936428259043
2015-01-18,32486.65,3,1,1,2015,18,0.49999999999999994,0.8660254037844387,0.3546048870425356,0.9350162426854148,1.0,6.123233995736766e-17,0,0,1,0,0,0.3333333333333333,0.1111111111111111,0.3047192331091634,0.9524422234305676,0.580454927809098,0.8142923779467267,0.8009803309782905,0.5986906625177214,149154.08,158707.39,94226.77,180021.83000000002,83043.23,228321.78,33609.37,78989.63,83652.35,16562.96,145527.5175,36553.546492732494,142487.84,47479.293896337294,123717.30083333334,53036.715655410684,99508.20807692308,50769.205609044766,70535.83480769231,48239.84628838632,142701.02229292112,135244.44210235402,127791.12586712734,19215.789999999994,21610.26999999999,1.8430853253864283
2015-01-25,50238.909999999996,4,1,1,2015,25,0.49999999999999994,0.8660254037844387,0.4647231720437685,0.8854560256532099,1.0,6.123233995736766e-17,0,0,1,0,0,0.3333333333333333,0.1111111111111111,0.4169258813287287,0.908940487313808,0.7579216274973472,0.6523456189565257,0.9608854255574977,0.27694620226893646,32486.65,149154.08,158707.39,94226.77,129938.29,116489.35,58847.270000000004,92422.90000000001,72715.79000000001,36642.23,108643.7225,58181.34890004373,118008.44875,47387.24243626169,123623.74083333334,53210.826558449495,97540.29653846154,52374.64936193309,70842.05961538461,47940.12079767908,98615.27337572495,112409.35450999842,113127.39927200504,-147535.18000000002,-195835.13,2.212299613112499
2015-02-01,19169.87,5,2,1,2015,32,0.8660254037844386,0.5000000000000001,0.5680647467311558,0.8229838658936564,1.0,6.123233995736766e-17,0,0,1,0,0,0.3333333333333333,0.1111111111111111,0.5230943033491326,0.8522748088519838,0.8916401947968874,0.45274469960737107,0.9967506498213929,-0.08054900421874167,50238.909999999996,32486.65,149154.08,158707.39,180021.83000000002,83043.23,124704.44,172926.03,59380.35,6329.37,97646.7575,65510.17408620298,109727.14375,53131.39755272849,122906.3775,54212.10833749435,96675.80115384616,52982.76371772172,71103.53423076923,47786.76503306186,79264.72802542768,98593.68950156616,103451.40982077966,-43987.86000000001,-66250.44,0.17273430137848672
2015-02-08,56874.26,6,2,1,2015,39,0.8660254037844386,0.5000000000000001,0.6631226582407952,0.7485107481711011,1.0,6.123233995736766e-17,0,0,1,0,0,0.3333333333333333,0.1111111111111111,0.6216868902665479,0.7832658619336791,0.9738922359149924,0.22701082094141847,0.9039461929224011,-0.42764620926777464,19169.87,50238.909999999996,32486.65,149154.08,94226.77,129938.29,127543.81,77353.15,24481.06,15793.64,62762.377499999995,58983.867525688336,101742.97375,61805.25943020706,114111.83,61907.835284062705,95129.24423076924,54674.80669201485,71350.46692307692,47477.66511388612,55226.78481525117,80943.9412297203,90484.06964928313,-139537.52000000002,-63873.36,2.4952941603978758
2015-02-15,60978.100000000006,7,2,1,2015,46,0.8660254037844386,0.5000000000000001,0.7485107481711011,0.6631226582407953,1.0,6.123233995736766e-17,0,0,1,0,0,0.3333333333333333,0.1111111111111111,0.7112757519738152,0.7029130847082615,0.9999300657962057,-0.011826390691832589,0.6944521021088763,-0.719538934232584,56874.26,19169.87,50238.909999999996,32486.65,158707.39,180021.83000000002,228321.78,33609.37,50376.51,12338.16,39692.4225,17122.521785658515,92609.97,62438.72677365752,108222.70083333332,63844.92575396997,96375.13653846155,53353.643405083385,72140.47884615384,46873.02587476878,55885.774889150794,75595.12067902366,85313.00934130455,-92279.81999999998,-73064.03,0.7812106645459324
2015-02-22,17404.46,8,2,1,2015,53,0.8660254037844386,0.5000000000000001,0.8229838658936564,0.5680647467311559,1.0,6.123233995736766e-17,0,0,1,0,0,0.3333333333333333,0.1111111111111111,0.7905633969115482,0.612380204990065,0.9682507501166718,-0.2499809690726521,0.3953117887649151,-0.9185469991587165,60978.100000000006,56874.26,19169.87,50238.909999999996,149154.08,94226.77,116489.35,58847.270000000004,43919.43,35994.46,46815.285,18953.96603561445,77729.50375,51931.930629439456,94277.39416666667,52494.60971871346,96782.89,53027.5533405719,73075.86230769231,46135.752937407284,57922.70493349063,72346.89268080839,81568.98086682154,28491.450000000004,-119043.73000000001,2.9173280294628277
2015-03-01,22904.29,9,3,1,2015,60,1.0,6.123233995736766e-17,0.8854560256532099,0.4647231720437686,1.0,6.123233995736766e-17,0,0,1,0,0,0.3333333333333333,0.1111111111111111,0.8584015232918917,0.512978386299228,0.8806828564301475,-0.47370635037968,0.04514101777397193,-0.9989806246941579,17404.46,60978.100000000006,56874.26,19169.87,32486.65,158707.39,83043.23,124704.44,112085.43000000001,24778.83,38606.6725,23533.724933784222,68126.715,55430.42051308932,86020.31999999999,56335.40004831873,95763.08346153848,54323.98547179695,72718.36230769231,46499.31927964227,41715.40696009359,60137.45974452972,71697.07823230748,-32834.45,-76822.31,0.688406771486482
2015-03-08,46151.59,10,3,1,2015,67,1.0,6.123233995736766e-17,0.9350162426854148,0.35460488704253557,1.0,6.123233995736766e-17,0,0,1,0,0,0.3333333333333333,0.1111111111111111,0.9138076496466615,0.4061472386305789,0.742280907086982,-0.6700888411055113,-0.3108569682435036,-0.9504567035349151,22904.29,17404.46,60978.100000000006,56874.26,50238.909999999996,149154.08,129938.29,127543.81,29091.36,68862.58,39540.277500000004,22559.53367828667,51151.3275,43165.16356810554,81008.74166666667,59225.170826757254,92333.03961538462,56040.511955619986,72682.31346153846,46537.923989940486,34190.96017605594,51863.42020422044,64190.213674768405,3734.420000000002,-135803.1,2.779089246748019
2015-03-15,63875.16,11,3,1,2015,74,1.0,6.123233995736766e-17,0.970941817426052,0.23931566428755804,1.0,6.123233995736766e-17,0,0,1,0,0,0.3333333333333333,0.1111111111111111,0.9559793438440766,0.2934339689665273,0.5610336262283677,-0.8277930117131022,-0.6267266965083301,-0.7792391467859886,46151.59,22904.29,17404.46,60978.100000000006,19169.87,32486.65,180021.83000000002,228321.78,77483.45,32546.55,36859.61,20341.224725708922,38276.01625,17471.970124609717,74026.51666666668,57855.409258258056,92989.20230769232,55366.23392204126,72245.56365384615,46680.82419780974,38975.21210563364,50594.1243862096,61414.95266387327,-10722.670000000006,-103002.48999999999,0.47263041843624687
2015-03-22,53558.69,12,3,1,2015,81,1.0,6.123233995736766e-17,0.992708874098054,0.120536680255323,1.0,6.123233995736766e-17,0,0,1,0,0,0.3333333333333333,0.1111111111111111,0.984305844499033,0.17647097349152166,0.3474028211842774,-0.9377159910299093,-0.8616928164028522,-0.5074302810827518,63875.16,46151.59,22904.29,17404.46,56874.26,50238.909999999996,94226.77,116489.35,127728.36,44849.62,37583.875,21504.545355086182,42199.58,19403.72850548057,64347.6275,47255.21138397022,92465.80653846155,55582.577504541456,72848.03692307693,46359.47437048294,48935.19126338029,53545.4660262893,61793.45627153627,2897.0599999999977,31388.510000000002,1.3780145668280854
2015-03-29,82715.58,13,3,1,2015,88,1.0,6.123233995736766e-17,1.0,-1.6081226496766366e-16,1.0,6.123233995736766e-17,0,0,1,0,0,0.3333333333333333,0.1111111111111111,0.998376906467142,0.056952196034039754,0.11371951458594969,-0.9935128947338007,-0.9854237542919524,-0.17011767832049052,53558.69,63875.16,46151.59,22904.29,60978.100000000006,19169.87,158707.39,83043.23,78989.63,49701.72,46622.4325,17402.492643350964,42614.552500000005,19634.349256697868,60958.62083333333,46367.5225816753,89613.12692307694,55603.7073534597,73015.51903846153,46271.99063854522,50784.590758028186,53548.40468741792,60526.54034536972,36154.23,3319.780000000006,1.1081859779413714
2015-04-05,46298.7,14,4,2,2015,95,0.8660254037844387,-0.4999999999999998,0.992708874098054,-0.12053668025532288,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.3333333333333333,0.1111111111111111,0.9979887423155984,-0.06339140486951038,-0.12652781683868314,-0.9919630595773397,-0.981947190186646,0.18915526872004093,82715.58,53558.69,63875.16,46151.59,17404.46,56874.26,149154.08,129938.29,92422.90000000001,66363.88,61575.255000000005,15857.25554802471,50557.76625,21554.700537212564,54625.97,35785.640154120934,89756.43269230772,55580.02889627902,73650.40096153846,46172.21621373048,63556.98645481697,60029.999722869565,63940.30443483254,59811.29,63545.71000000001,1.3352431263947941
2015-04-12,64858.72,15,4,2,2015,102,0.8660254037844387,-0.4999999999999998,0.9709418174260521,-0.2393156642875575,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.3333333333333333,0.1111111111111111,0.9831469737221499,-0.1828169249850199,-0.3594718130884232,-0.9331559438780432,-0.8517119107469189,0.5240103253675756,46298.7,82715.58,53558.69,63875.16,22904.29,60978.100000000006,32486.65,180021.83000000002,172926.03,25935.33,61612.0325,15809.65887091239,49235.82125,21435.941280629868,46054.68833333333,19860.67348993372,87982.42499999999,56223.884639904354,73264.53211538462,46317.919008330035,56653.67187289017,56978.59959348453,61226.16725854558,147.11000000000058,-10575.560000000005,0.3908049077299219
2015-04-19,44591.2,16,4,2,2015,109,0.8660254037844387,-0.4999999999999998,0.9350162426854148,-0.35460488704253545,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.3333333333333333,0.1111111111111111,0.9540665500578387,-0.2995947563972602,-0.5716666713027052,-0.8204859638785327,-0.6115298757991053,0.7912213413483807,64858.72,46298.7,82715.58,53558.69,46151.59,17404.46,50238.909999999996,94226.77,77353.15,67696.88,61857.9225,15864.145390542963,49720.89874999999,21780.75331167497,48752.36083333334,20047.853129020266,83825.99,53627.69622235248,74013.05884615384,45850.20362410069,59935.691123734105,58729.73754683857,61785.029225027974,983.5599999999977,3880.6199999999953,2.6102185705752494
